SUBDIVISION	YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	ANNUAL	Jan-Feb	Mar-May	Jun-Sep	Oct-Dec
ARUNACHAL PRADESH	1946	1.8	73.2	141.7	238.3	631.2	448.6	1212.2	478.7	540.4	215.9	25.4	3.8	4011.2	75.1	1011.2	2679.9	245.1
ARUNACHAL PRADESH	1947	37.8	68.5	158.6	460.2	494.4	650.2	1245	417.9	503.8	297.3	9.5	25.9	4369.1	106.3	1113.2	2816.9	332.6
ARUNACHAL PRADESH	1948	35.6	119.5	136.1	441.1	1168.6	889.5	2362.8	603.3	350.4	150.1	52.7	21.4	6331.1	155.1	1745.8	4206	224.2
ARUNACHAL PRADESH	1949	80.1	88.1	287.4	436.9	567.2	943.9	1002	672.6	482	224.9	39.6	50.1	4874.7	168.1	1291.5	3100.5	314.6
ARUNACHAL PRADESH	1950	38.6	92.8	205.8	425.2	274.2	NA	377.6	241.8	285.8	356	49.5	43.9	NA	131.4	905.2	NA	449.4
ARUNACHAL PRADESH	1951	31.8	65.3	309.9	441	344.5	757.8	554.7	278.5	383.7	101.8	46.2	39.1	3354.2	97.1	1095.3	1974.7	187.1
ARUNACHAL PRADESH	1952	17.2	24.5	189.6	151.5	235.1	276.8	320.6	481.1	368.2	257.9	43.9	29.7	2396.1	41.7	576.2	1446.7	331.5
ARUNACHAL PRADESH	1953	56.4	106.9	236	214.9	314.9	409.9	512.5	245.3	449.8	NA	10.4	23.4	NA	163.3	765.8	1617.5	NA
ARUNACHAL PRADESH	1957	NA	NA	NA	246.9	448.9	608.1	1219.4	542.6	505.8	146.6	17.1	40.6	NA	NA	NA	2875.9	204.3
ARUNACHAL PRADESH	1958	98.4	67.5	32.9	138.5	698.6	511.2	457.7	1664.6	705.2	669.4	2.5	17	5063.5	165.9	870	3338.7	688.9
ARUNACHAL PRADESH	1959	83.2	137.9	104.5	146.4	671.8	812.9	1137.7	333.2	508.8	247	12.1	0	4195.5	221.1	922.7	2792.6	259.1
ARUNACHAL PRADESH	1960	8	26.8	53.2	137.1	210.7	653.9	1296.8	251.3	1034.8	13	13.4	10.4	3709.4	34.8	401	3236.8	36.8
ARUNACHAL PRADESH	1961	50	204.2	289.6	181	492.3	595.5	738.3	547.9	256.2	260.5	57.1	3.9	3676.5	254.2	962.9	2137.9	321.5
ARUNACHAL PRADESH	1962	37.2	87.1	45.1	250.3	601.9	1088.8	758.1	1405.9	222.4	255.6	NA	NA	NA	124.3	897.3	3475.2	NA
ARUNACHAL PRADESH	1963	14.6	35.2	168.6	262.6	346.4	755.4	817.4	1199.3	366.4	136.4	20	15.7	4138	49.8	777.6	3138.5	172.1
ARUNACHAL PRADESH	1964	55.4	90.3	81.1	219.7	286.4	1432.8	1506.1	492.1	465.1	246.2	12.2	71.9	4959.3	145.7	587.2	3896.1	330.3
ARUNACHAL PRADESH	1965	37.4	120.7	103.7	254.4	306.9	404.7	315.8	351.3	172.9	51.5	72.6	4.9	2196.8	158.1	665	1244.7	129
ARUNACHAL PRADESH	1966	22.4	91.5	98.4	180.2	177.9	473.2	432.7	411.6	197.6	78.9	39	6.3	2209.6	113.8	456.5	1515.1	124.2
ARUNACHAL PRADESH	1967	13.3	45.5	147.9	96.6	164	253.1	434.5	220.8	212.8	58.5	10	11.5	1668.5	58.8	408.5	1121.2	80
ARUNACHAL PRADESH	1968	54.2	41.4	135.9	117.6	307.2	510.1	404.8	227.5	243.5	75.8	12.5	8.4	2139	95.7	560.7	1385.9	96.8
ARUNACHAL PRADESH	1969	19.2	10	33.8	127	202.3	412.3	405.1	333.9	241.4	42.9	34.8	15.1	1877.7	29.2	363.1	1392.7	92.8
ARUNACHAL PRADESH	1970	49.2	78.8	57.4	108.8	213.4	409.6	377.9	245.4	287.4	138.6	6.9	0	1973.4	128	379.7	1320.2	145.5
ARUNACHAL PRADESH	1971	56	67.8	47.1	121.8	222.4	446	385.5	288.2	239.6	235.1	67.8	7.3	2184.5	123.8	391.3	1359.3	310.2
ARUNACHAL PRADESH	1972	39.2	114.2	108.3	231.5	299.5	314.4	438.3	270.7	334.5	83.3	25.9	21.5	2281.3	153.5	639.3	1357.9	130.7
ARUNACHAL PRADESH	1973	136.4	147.1	82.3	215.3	256.5	571.1	284.8	271.3	258.3	110.2	88.9	35.4	2457.5	283.5	554	1385.5	234.4
ARUNACHAL PRADESH	1974	130.9	95.4	127.8	272.6	248.3	466.7	648.9	446.8	461.2	121.1	14	30.3	3063.9	226.3	648.7	2023.5	165.4
ARUNACHAL PRADESH	1975	17.3	76.9	101.7	165.1	188	268.5	427	185.2	297	451.6	21.5	13.6	2213.3	94.2	454.8	1177.7	486.6
ARUNACHAL PRADESH	1976	8.9	112.9	168	229.3	210.7	506.3	375.4	357.4	177.5	139.7	87.9	45.6	2419.5	121.8	608	1416.7	273.1
ARUNACHAL PRADESH	1977	71.2	133.5	209.3	560.2	417.8	543.5	484.7	610.1	311.9	213.5	141	77.7	3774.3	204.6	1187.3	1950.2	432.2
ARUNACHAL PRADESH	1978	37.1	82.2	150.6	216.4	345.6	577.2	357.5	172.4	310.4	133	146.1	2.5	2531	119.3	712.6	1417.4	281.6
ARUNACHAL PRADESH	1979	47.4	81.6	138.2	158.8	210.3	239.4	665.4	296.9	417.5	409.6	27.4	81.2	2773.6	129	507.2	1619.2	518.3
ARUNACHAL PRADESH	1980	65.6	130.4	251.4	372	245.5	530.9	514.1	544.7	367.4	185.4	7.8	0.2	3215.3	195.9	868.9	1957.1	193.3
ARUNACHAL PRADESH	1981	93.1	136.1	255.2	197.4	285	494.9	549.3	360.6	262.6	71.8	29.3	55.5	2790.9	229.2	737.6	1667.4	156.7
ARUNACHAL PRADESH	1982	6.4	100.4	151.2	335.3	241.4	429.8	593	197	526.6	82.3	53.8	62.2	2779.5	106.8	727.9	1746.4	198.3
ARUNACHAL PRADESH	1983	65.4	171.1	217.6	351.2	301.9	551	563.2	389.9	476.4	191.7	14.9	40.8	3335.3	236.5	870.7	1980.6	247.4
ARUNACHAL PRADESH	1984	98.1	42.8	166.9	389.3	448.7	417.3	671	309.2	455.5	184.1	5.7	89.5	3278	140.8	1004.9	1853	279.3
ARUNACHAL PRADESH	1985	54.1	81	255.6	347.1	345.5	506	657.8	326.3	502.2	116.6	25.4	48.8	3266.2	135	948.2	1992.2	190.7
ARUNACHAL PRADESH	1986	19.3	90.1	122.8	335.3	101.8	402.5	453.7	355.3	387.6	176.6	36.6	14	2495.6	109.5	559.8	1599.1	227.2
ARUNACHAL PRADESH	1987	3.7	72.5	147.7	352	230.8	501.5	754.9	558.8	646.6	101.1	24.1	39.6	3433.2	76.2	730.4	2461.9	164.8
ARUNACHAL PRADESH	1988	50.9	118.3	250.7	278.9	535.9	287	868.1	815.6	486.3	416.4	34.2	13.1	4155.3	169.2	1065.4	2457	463.6
ARUNACHAL PRADESH	1989	52.6	171.9	92.9	388.7	239.7	484.2	640.7	305.3	526.5	281.7	77.9	19.6	3281.6	224.5	721.2	1956.8	379.1
ARUNACHAL PRADESH	1990	54.8	112.4	149	289.9	366.2	857.2	534	352.8	625.5	240.6	2	19.7	3604	167.2	805.1	2369.5	262.3
ARUNACHAL PRADESH	1991	24.9	86	110.7	193.3	423.7	608.3	607.7	603.4	484.5	189	22.2	80.8	3434.4	110.9	727.7	2303.9	291.9
ARUNACHAL PRADESH	1992	33.2	128.9	184.6	196.4	239.2	522.9	557.2	294.3	328.2	201.5	11.5	8.9	2707	162.1	620.3	1702.7	221.8
ARUNACHAL PRADESH	1993	95.7	125.4	134.4	130.6	408.3	569.5	619.2	691.9	323.1	228.6	14.7	7.5	3348.9	221.1	673.3	2203.7	250.8
ARUNACHAL PRADESH	1994	48.2	72.6	215.3	232.1	382.9	416.1	233	280.2	225	161.6	14.1	6.2	2287.4	120.8	830.3	1154.4	181.9
ARUNACHAL PRADESH	1995	20.6	79.9	84.3	198.8	363.9	686.9	714.5	328.8	425.1	82.4	51	32.6	3068.8	100.5	647.1	2155.2	166
ARUNACHAL PRADESH	1996	35.7	56.2	163.6	171.4	398.2	316.2	593	372.1	191.2	212.5	9.1	1.4	2520.5	91.8	733.1	1472.5	223
ARUNACHAL PRADESH	1997	26.2	68.5	158.5	94.7	212.6	548	395.2	237	403.5	58.5	45.9	26.3	2274.9	94.6	465.8	1583.7	130.7
ARUNACHAL PRADESH	1998	26.7	78.8	193.6	125	275	839.8	823.8	807	236.8	187.2	20.5	2.5	3616.7	105.6	593.6	2707.4	210.2
ARUNACHAL PRADESH	1999	7.9	6.1	40.4	159.6	343.2	450	376.9	438.1	254	207.9	28.3	4.3	2316.6	14	543.2	1519	240.4
ARUNACHAL PRADESH	2000	54.1	47.1	139.9	293.8	267.2	459.8	395.4	387.4	407.4	81.3	53.9	9.6	2596.8	101.2	700.8	1650	144.8
ARUNACHAL PRADESH	2001	53.1	66.6	134.9	229.9	195.6	277.2	302.6	279.9	288.1	173.8	19.3	14.9	2036	119.7	560.5	1147.8	208
ARUNACHAL PRADESH	2002	74.2	37.2	126.3	248.2	197.1	396.8	604	290.7	257.9	94	45	17.9	2389.2	111.4	571.6	1549.4	156.9
ARUNACHAL PRADESH	2003	22.9	83.2	109.6	182	173.5	424.3	645.3	327.2	259.9	182.6	25	16.2	2451.8	106.1	465.2	1656.6	223.9
ARUNACHAL PRADESH	2004	38	39.1	175.5	210.2	298.7	402.9	654.3	243	278.5	184.8	5.6	15.2	2545.7	77.1	684.3	1578.7	205.6
ARUNACHAL PRADESH	2005	48.4	167.6	229.5	195.3	179.8	269.3	430.8	400	243.6	139.3	28.6	3.3	2335.5	216	604.6	1343.7	171.2
ARUNACHAL PRADESH	2006	6	103.7	63.3	202.7	321.7	520.4	382.2	227.6	263.2	77.2	69.7	21.7	2259.6	109.7	587.7	1393.5	168.7
ARUNACHAL PRADESH	2007	13.4	97.4	48.1	292.4	250.4	530.2	761	364.6	529.3	102.6	24.3	6.9	3020.7	110.8	590.9	2185.1	133.9
ARUNACHAL PRADESH	2008	76.7	39.7	122.6	192.4	185	423.6	456.1	439.3	189.7	115.1	1.7	2.6	2244.4	116.4	499.9	1508.7	119.4
ARUNACHAL PRADESH	2009	18	92.8	72.1	132.7	189.9	259.1	329.9	370.3	152.5	82.9	33.9	15.9	1749.9	110.8	394.7	1111.8	132.7
ARUNACHAL PRADESH	2010	0.6	13.2	237.8	466.9	312.7	509.9	378	321.5	444.2	97.7	58.9	14.2	2855.7	13.9	1017.5	1653.6	170.9
ARUNACHAL PRADESH	2011	40	51.3	174.5	240.8	219.6	288.4	531.4	277.6	286.7	51.9	16.2	15.2	2193.7	91.4	634.9	1384.2	83.3
ARUNACHAL PRADESH	2012	57.8	35.8	134.2	403.4	187.4	645.8	638.9	316	724.9	248.1	22	26.2	3440.3	93.6	724.9	2325.6	296.3
ARUNACHAL PRADESH	2013	18.5	40.5	115.1	175.1	335.8	290	329.6	230.2	316.1	164.1	13.3	14.6	2042.9	59	626	1165.9	192
ARUNACHAL PRADESH	2014	19	101.9	80.3	86.7	299	415.8	392.4	599.6	343	35.1	20.1	10.2	2403.2	120.9	466	1750.8	65.4
ARUNACHAL PRADESH	2015	30.8	47.5	97.5	287.1	238.9	637.9	329.3	595.5	374.2	65.2	33.8	29.8	2767.5	78.3	623.5	1936.9	128.8
ASSAM & MEGHALAYA	1901	27.1	19.5	30.6	223	207	524.9	430.6	464.1	291.4	163.7	115.6	1.2	2498.6	46.6	460.5	1710.9	280.5
ASSAM & MEGHALAYA	1902	9.3	10.2	105.6	350	262.1	620.7	510.8	536	441.3	97	7.8	1.3	2952.1	19.4	717.6	2108.9	106.2
ASSAM & MEGHALAYA	1903	19.9	25.4	103.6	140.6	206.6	607.4	362.7	551.9	306.4	159.5	59.3	1.3	2544.7	45.4	450.8	1828.5	220.1
ASSAM & MEGHALAYA	1904	11.1	56.1	51.9	457.1	375.2	385.7	477.6	438.8	245.9	115.9	46.4	2.5	2664.1	67.1	884.2	1548	164.8
ASSAM & MEGHALAYA	1905	19.9	16.9	137.9	213	275.5	521.7	439.1	649.1	276	200	16.8	24.8	2790.6	36.8	626.3	1886	241.6
ASSAM & MEGHALAYA	1906	9.7	59.2	88.4	263.5	271.3	388.4	541.8	585.9	264.2	165.7	24.9	0.2	2663.4	68.9	623.3	1780.4	190.8
ASSAM & MEGHALAYA	1907	55.8	37.2	109.7	254.8	213.7	509.8	578.9	304.2	401	37.6	4.8	13.8	2521.1	93	578.1	1793.8	56.2
ASSAM & MEGHALAYA	1908	16.2	25.1	20.7	176.6	332.7	390.8	477.2	339.4	403.4	91.9	3.8	0	2277.8	41.3	530	1610.8	95.7
ASSAM & MEGHALAYA	1909	19	8.9	4.4	195	310.4	639.4	345	445.2	216.4	162.4	24.6	6.3	2377	27.9	509.8	1646	193.3
ASSAM & MEGHALAYA	1910	9.2	32.1	152.8	211.5	274.6	582.5	738.3	418.3	247.8	199.7	16.2	4.3	2887.3	41.3	638.9	1986.9	220.2
ASSAM & MEGHALAYA	1911	74.2	19	93	234	431.7	534	618.6	417.1	387.8	257.4	26.3	3	3096.2	93.2	758.7	1957.5	286.8
ASSAM & MEGHALAYA	1912	9	57.8	126.1	301	250.2	482.7	567	453.4	236.8	181.5	68.4	9.5	2743.5	66.8	677.4	1739.9	259.5
ASSAM & MEGHALAYA	1913	11.9	90.2	118.4	334.2	392.3	458.6	438	354	279.2	227.7	10.4	45.6	2760.5	102.2	844.9	1529.7	283.7
ASSAM & MEGHALAYA	1914	6.3	79.1	69.9	219.6	317.9	403.9	396.4	472.9	292.3	67.6	10.6	7.4	2343.8	85.5	607.4	1565.4	85.6
ASSAM & MEGHALAYA	1915	9.3	58.9	74.4	201.9	662.9	509.1	738.2	529.1	258.8	108.2	10	4.4	3165.1	68.2	939.2	2035.1	122.6
ASSAM & MEGHALAYA	1916	20	28	118.4	227.9	340.6	367.3	475.3	430.7	308.8	244.9	32.8	6.3	2601.1	48	686.9	1582.1	284
ASSAM & MEGHALAYA	1917	12.8	91.6	38.7	168.8	206.2	584.7	472.8	346.3	313.7	236.6	46.4	1.4	2519.9	104.4	413.6	1717.4	284.4
ASSAM & MEGHALAYA	1918	4.6	16.1	125.5	152.2	287.4	659.4	805	604.8	373.2	70.7	6.8	1.1	3106.8	20.7	565.1	2442.5	78.6
ASSAM & MEGHALAYA	1919	13.1	12.4	22.6	162.1	266.9	485.5	459	249.1	441.6	185.7	42.5	3.6	2344.2	25.5	451.6	1635.3	231.9
ASSAM & MEGHALAYA	1920	4.8	51	228.1	184.8	282.7	523.8	309.8	521.5	382.6	129.5	3.3	1.8	2623.6	55.8	695.6	1737.6	134.6
ASSAM & MEGHALAYA	1921	35.1	20.3	134.1	324.6	414.8	604.9	542.2	429.4	333.2	142.1	8.5	10.3	2999.7	55.4	873.6	1909.8	160.9
ASSAM & MEGHALAYA	1922	16.6	4.9	77.8	168.7	233.1	548.9	418.4	379.4	265.6	129.9	9.3	9.4	2261.9	21.4	479.6	1612.3	148.7
ASSAM & MEGHALAYA	1923	0.4	59.6	17.1	258.1	397.8	588.6	375.4	267.2	360.9	98.2	11.2	5.9	2440.6	60	673	1592.1	115.4
ASSAM & MEGHALAYA	1924	10.6	22.7	20	221.9	299.4	473.9	609	434	346	127	126.9	0.2	2691.4	33.3	541.3	1862.8	254
ASSAM & MEGHALAYA	1925	26.4	21.5	53.8	278.3	602.2	330.8	411.1	400.7	322.3	89.5	13.7	0.2	2550.5	47.9	934.2	1465	103.4
ASSAM & MEGHALAYA	1926	23.4	23.2	156.9	140.8	253.9	559.3	576.5	354.7	189.2	193.7	6.4	33.6	2511.7	46.6	551.6	1679.7	233.8
ASSAM & MEGHALAYA	1927	33.8	60.5	66	265.2	238.4	573.9	447.7	366.4	549.8	161.2	29.8	0.2	2793.1	94.3	569.7	1937.9	191.2
ASSAM & MEGHALAYA	1928	8.3	21.1	61	138.9	446.5	420.6	428.1	448.2	343.5	294.8	21.6	1.5	2634.3	29.4	646.4	1640.5	317.9
ASSAM & MEGHALAYA	1929	83.9	3.8	84.1	321.7	570.2	643.4	385	333.2	292.8	196	17.6	22.1	2953.8	87.7	976	1654.4	235.7
ASSAM & MEGHALAYA	1930	18	41	99.8	199.4	209.8	686.9	287.8	438.5	299.1	149.9	114.4	6.2	2550.7	59	509	1712.4	270.4
ASSAM & MEGHALAYA	1931	7.6	29.2	47.6	294.7	374	605.6	654.6	282	330.2	136.7	21.6	16.3	2800.1	36.7	716.3	1872.4	174.7
ASSAM & MEGHALAYA	1932	14.9	36.7	59.1	163.2	488.6	628.5	454.6	467.3	355.8	108.4	90.9	20.6	2888.7	51.5	711	1906.3	219.9
ASSAM & MEGHALAYA	1933	10.3	29	16.7	214.4	286.7	477.2	427.1	501.7	243.1	122.1	8.1	2.7	2339.1	39.2	517.7	1649.2	132.9
ASSAM & MEGHALAYA	1934	18.5	68.2	27.1	301.2	444.6	754.5	553.2	361.8	246.8	232.8	59.8	6.3	3074.9	86.8	773	1916.3	298.9
ASSAM & MEGHALAYA	1935	3.4	53.2	66.5	122.1	381.5	696.9	395.2	573.9	335	28.1	19.8	2.9	2678.4	56.6	570.1	2001	50.8
ASSAM & MEGHALAYA	1936	13.6	58.7	75.7	217.8	422.8	456.1	559.9	356.4	283.5	179.6	24	23.2	2671.3	72.2	716.3	1655.9	226.8
ASSAM & MEGHALAYA	1937	2.2	51.1	19.3	97.4	406.6	422.5	409.2	480.5	278.1	139.3	13.5	4.9	2324.6	53.3	523.4	1590.3	157.6
ASSAM & MEGHALAYA	1938	27.2	16.2	138	202	247.3	581	510.6	435.2	431.4	141.8	55.2	0.6	2786.5	43.4	587.3	1958.2	197.6
ASSAM & MEGHALAYA	1939	1.5	33.6	11.2	178.3	349.6	533.7	484.9	224.9	389	190.1	2.8	1.9	2401.6	35.1	539.2	1632.5	194.9
ASSAM & MEGHALAYA	1940	1.5	57.9	180.8	72.6	391.9	500.5	435.4	330.8	353.7	98.1	19	9.5	2451.6	59.4	645.3	1620.3	126.6
ASSAM & MEGHALAYA	1941	4.5	32.7	53.8	245.1	522.4	541.7	409.4	361.8	368.1	143.3	16.7	9.9	2709.5	37.2	821.2	1681	170
ASSAM & MEGHALAYA	1942	7.4	25.3	130.9	233.5	469.1	618.8	332.9	328.8	462.9	40	27.5	0	2677	32.7	833.5	1743.4	67.5
ASSAM & MEGHALAYA	1943	54.4	34.1	170.6	247.7	406.6	513.3	391.9	417.9	365	86.7	9.4	6.2	2703.7	88.4	824.9	1688.1	102.3
ASSAM & MEGHALAYA	1944	39.2	21.3	62.9	139	518	490.6	386.9	304.1	455.6	89.7	7.2	9.9	2524.3	60.4	719.9	1637.2	106.8
ASSAM & MEGHALAYA	1945	37	39.7	67.5	139.5	396.5	500.5	507.7	493.5	283.2	196.6	1.1	2.9	2665.7	76.7	603.5	1785	200.5
ASSAM & MEGHALAYA	1946	0.4	19.4	102.6	178.5	328	582.6	547	297.9	266.8	346.3	8.6	1.4	2679.5	19.8	609.2	1694.2	356.4
ASSAM & MEGHALAYA	1947	3.9	9	83.9	243.4	380.2	486.4	570.8	285	362.3	202.2	3	13.1	2643.3	12.9	707.6	1704.6	218.3
ASSAM & MEGHALAYA	1948	10.1	42.4	59.5	260.4	681.2	599.4	534.8	448.3	314.4	176.6	50.6	7.8	3185.4	52.5	1001.1	1896.8	234.9
ASSAM & MEGHALAYA	1949	22.9	23.1	76	371	335.9	683.4	444.1	461.9	392.6	148.3	13	11.1	2983.4	45.9	782.9	1982.1	172.4
ASSAM & MEGHALAYA	1950	21.2	51.2	93.5	112.9	282.1	562	389.5	490.9	200.7	134.6	49.9	3.9	2392.4	72.5	488.5	1643.1	188.4
ASSAM & MEGHALAYA	1951	4.9	3.3	53.5	242.9	250.4	588.8	550.5	387.4	209.7	270.5	46.2	5.8	2613.8	8.2	546.9	1736.3	322.5
ASSAM & MEGHALAYA	1952	4.4	10.4	107.5	155.9	465.6	399.9	573.9	467.6	343.7	277.1	43.2	2.1	2851.3	14.8	729	1785.2	322.4
ASSAM & MEGHALAYA	1953	18	13.3	227.3	157.4	377.7	405.5	461.9	284.5	451.5	144	5.8	13.1	2559.9	31.3	762.4	1603.4	162.9
ASSAM & MEGHALAYA	1954	22	45.7	40.6	266	490.3	594.3	572.2	427.3	218.8	155.5	2	24.5	2859.1	67.6	796.9	1812.6	182
ASSAM & MEGHALAYA	1955	9.2	9.5	143.5	210.2	328.8	546.5	567	415.8	283.3	149.3	89.6	8.5	2761.2	18.7	682.5	1812.6	247.4
ASSAM & MEGHALAYA	1956	29.8	3.2	121.7	204.8	533.5	712.4	440.3	382.1	171.9	149.3	44.3	9.6	2802.9	33	859.9	1706.7	203.3
ASSAM & MEGHALAYA	1957	66.9	33.5	20.1	136	449.2	446	407.2	366.6	208.7	99.9	12.2	10.7	2257.2	100.4	605.4	1428.6	122.8
ASSAM & MEGHALAYA	1958	18.8	44.2	10.3	192.4	545.2	393.2	361.1	546.9	278.7	212.4	4.6	18.7	2626.4	63	747.9	1579.8	235.7
ASSAM & MEGHALAYA	1959	30.8	45.6	109.9	144.1	470.6	517.6	364.2	255.9	286.8	301.7	8.3	0.2	2535.8	76.4	724.6	1424.6	310.1
ASSAM & MEGHALAYA	1960	0.1	11.1	38.7	45.9	315.2	454.8	553.7	349.2	479.4	60.9	29.3	3.9	2342.2	11.2	399.9	1837	94
ASSAM & MEGHALAYA	1961	11.5	19.7	253.8	123	355.8	335.4	352.9	347.4	226.1	128.1	34.8	6.9	2195.3	31.2	732.6	1261.7	169.8
ASSAM & MEGHALAYA	1962	24.9	27.6	17.3	134.7	369	601.4	338.8	509.8	137.4	118.2	11.1	5.8	2295.9	52.5	521.1	1587.3	135
ASSAM & MEGHALAYA	1963	3.3	7.9	51.1	183.3	288.4	596	557.3	432	211.7	144.1	29.4	7.2	2511.8	11.2	522.8	1797.1	180.7
ASSAM & MEGHALAYA	1964	9.6	22.6	80.7	268.3	297.4	557.9	600.3	340.4	326.3	205.1	8.3	12.8	2729.6	32.2	646.4	1824.8	226.2
ASSAM & MEGHALAYA	1965	5.1	73.6	52.5	158.2	327.1	501	399.6	422.1	304	82.4	60.8	12.5	2398.9	78.7	537.7	1626.7	155.7
ASSAM & MEGHALAYA	1966	20	23.6	36.1	164.3	323.7	780.5	507.1	518.2	248.1	124.5	31.8	11.4	2789.3	43.6	524.1	2053.9	167.7
ASSAM & MEGHALAYA	1967	11.4	37.3	105.9	112	287.5	395.7	497.7	258.9	300.6	97.6	14.5	4.2	2123.4	48.8	505.4	1452.9	116.3
ASSAM & MEGHALAYA	1968	22.9	19.8	78.2	170.8	432.3	595	494.1	346	231.7	113.8	23.9	2.3	2530.8	42.7	681.3	1666.8	140
ASSAM & MEGHALAYA	1969	27.4	1.8	99.7	178.7	254.1	567.2	461.1	446.7	185.4	80.9	27.5	1.8	2332.2	29.2	532.4	1660.3	110.2
ASSAM & MEGHALAYA	1970	47	35.8	89.7	204.8	493.4	658.3	475.3	389.2	390.7	246.4	17.8	0.1	3048.4	82.8	787.9	1913.5	264.3
ASSAM & MEGHALAYA	1971	36.9	18.4	37.6	142.9	236.3	437.1	407.9	474.8	231.6	199.5	80	12.1	2315.1	55.3	416.8	1551.3	291.6
ASSAM & MEGHALAYA	1972	18	39.6	99.3	260.3	339.3	576.2	441	271	227.1	99.1	2.9	5.3	2379.1	57.6	698.9	1515.3	107.3
ASSAM & MEGHALAYA	1973	9.8	82.8	28.9	252.1	324.5	634.4	364.6	395	348.6	128.7	67.4	35.3	2672.1	92.6	605.5	1742.6	231.4
ASSAM & MEGHALAYA	1974	31.6	11.4	78.7	255.8	369.4	627	789.3	510.9	429.1	271	27.1	2.3	3403.5	43	703.8	2356.3	300.4
ASSAM & MEGHALAYA	1975	10	22.3	18.8	227.9	321.2	337.6	522.4	314.8	299.1	172.7	18	5.8	2270.6	32.3	567.9	1473.9	196.5
ASSAM & MEGHALAYA	1976	5.7	36.3	92.6	139.4	179.5	509.7	390.5	358.5	149.1	67.3	24.3	3.1	1956	42.1	411.5	1407.8	94.6
ASSAM & MEGHALAYA	1977	9.1	16.2	74.4	375.1	391.6	405	461.3	461.9	176.9	175.7	47.7	21.8	2616.6	25.2	841.1	1505.2	245.2
ASSAM & MEGHALAYA	1978	5	8.2	44.3	100.9	253.7	506.6	444	255.8	271.8	65	55.9	0.6	2011.9	13.2	399	1478.2	121.6
ASSAM & MEGHALAYA	1979	3.3	8.7	38.2	93.8	225.6	307.8	640.1	252.4	342.3	216.6	23.4	36.2	2188.5	12	357.7	1542.6	276.3
ASSAM & MEGHALAYA	1980	13.1	36.3	96.9	173.2	289.4	389.5	460	417.8	269.8	141.6	1	0.6	2289.2	49.3	559.6	1537.1	143.2
ASSAM & MEGHALAYA	1981	29.6	30.7	91	152.1	251.5	273.1	543.5	340.7	274.5	47.5	9	36.1	2079.3	60.3	494.6	1431.8	92.7
